
#### #22  JoAnn Jones – I Don't Need Your Love   (hint: Champion 1989)
    -67 |   3986219 | 2008 | 303Lovers              | File,MP3         | Alex Rai - Ciottoli
    -67 |   3986297 | 2008 | Presences Recording    | File,AIFF        | Alex Rai - Live In A Small Room EP
    -67 |   1780434 | 2008 | 303Lovers              | File,MP3         | Alex Rai - Ciottoli
    -75 |   3986178 | 2009 | Transalp               | File,MP3         | Alex Rai - Panic Rooms EP
    -75 |   3986207 | 2009 | Transalp               | File,AIFF        | Alex Rai - Panic Rooms EP

#### #76  Cassio feat. Sajadah – Fantasy   (hint: Shelter 1994)

#### #78  Johnny Dangerous feat. Jazmina/Pzaz – Good Time (Fair Jack Version)   (hint: KULT 1992)

#### #79  Urban Renewal Feat. Joi Cardwell & Jay Mac – Holdin' On   (hint: Freetown 1994)

#### #80  LY – Back To Zanzibar   (hint: Nite Grooves 1994)
    177 |     21725 | 1994 | Nite Grooves           | Vinyl,12"        | LY - Back 2 Zanzibar
     75 |  25139986 | 1992 | Khanh Ly Productions   | CD,Album         | Khánh Ly - Bên Đời Hiu Quạnh
     70 |    233133 | 1995 | DMC                    | CD,Mixed         | Frankie Knuckles & David Morales - United DJs Of The World Volum
     30 |     82348 | 1996 | BPM King Street Sounds | CD,Mixed         | Tony Humphries - Mix The Vibe
     30 |    232094 | 1996 | BPM King Street Sounds | CD,Mixed         | Tony Humphries - Mix The Vibe
     20 |      3641 | 1995 | DMC America            | CD,Compilation   | David Morales & Frankie Knuckles - United DJs Of America, Vol. 4

#### #81  Karen Pollard – Reach Out For Me   (hint: Choice 1995)
    177 |   5158652 | 1995 | Underground Music Depa | Vinyl,12"        | Karen Pollard - Take Me Back (Sold Out Remixes)
    177 |    167299 | 1995 | Choice Records         | Vinyl,12"        | Karen Pollard - Reach Out To Me
    177 |    576422 | 1995 | Underground Music Depa | Vinyl,12"        | Karen Pollard - Take Me Back (Sold Out Remixes)
    177 |    232991 | 1995 | Choice Records         | Vinyl,12"        | Karen Pollock* - Reach Out To Me
    177 |   8862604 | 1995 | Choice Records         | Vinyl,12"        | Karen Pollard - Reach Out To Me
    127 |   9012911 | 1994 | Slip 'n' Slide         | Vinyl,12"        | Karen Pollack* - You Can't Touch Me

#### #82  Blaze – My Beat (Original Mix)   (hint: Slip 'n' Slide 1994)
     85 |   2526911 | ? | Slip 'n' Slide         | File,MP3         | Blaze Feat. Palmer Brown - My Beat
     65 |   1879639 | 1998 | Slip 'n' Slide         | Vinyl,12"        | Blaze - My Beat
     65 |     19860 | 1998 | Slip 'n' Slide         | Vinyl,12"        | Blaze - My Beat
     65 |    180486 | 1998 | True                   | Vinyl,12"        | Blaze - My Beat
     57 |     59302 | 1999 | True                   | Vinyl,12"        | Blaze - My Beat
     45 |  16122556 | ? | Slip 'n' Slide         | File,WAV         | Blaze - Cult Of Soul

#### #83  Mama's Children ft. Lee Truesdale – Let Us All Be Friends (Original Version Mix)   (hint: Colonel 1996)

#### #84  Darryl D' Bonneau – More Than Anything   (hint: New Generation 1992)

#### #87  Charvoni – No More Heartache (Demo Version)   (hint: Acetate 1990)
    127 |  10366308 | 1989 | Capitol Records        | Vinyl,12"        | Charvoni - Always There
    127 |     58682 | 1989 | Capitol Records        | Vinyl,12"        | Charvoni - Always There
    127 |   1552326 | 1989 | Syncopate              | Vinyl,12"        | Charvoni - Always There
    127 |   4572639 | 1989 | Capitol Records        | Vinyl,7"         | Charvoni - Always There
    127 |   7450694 | 1989 | EMI                    | Vinyl,7"         | Charvoni - Always There
    127 |    755698 | 1989 | EMI Electrola          | Vinyl,12"        | Charvoni - Always There

#### #88  Cookie – Choose Me (Joey Negro Remix)   (hint: Republic 1990)
     85 |   4007083 | ? | Z Records              | File,WAV         | Cookie - Choose Me
     82 |     26684 | 1990 | Republic Records       | Vinyl,LP         | Various - Rewind
     70 |     57187 | 1990 | Republic Records       | CD,Compilation   | Various - Rewind
     65 |     58801 | 1994 | Z Records              | Vinyl,12"        | Cookie - Choose Me
     65 |   5814580 | 1994 | Z Records              | Vinyl,12"        | Cookie - Choose Me
     45 |   3507112 | ? | Stockholm Records      | CD,Single        | Cookie (16) - Nightflight

#### #93  Joey Washington ft. The Mens Club – Just Us   (hint: Strictly Rhythm 1993)
     90 |    485265 | 1993 | Feel The Rhythm        | CD,Compilation   | Various - The Soul Of Garage
    -20 |   1632479 | 1995 | Feel The Rhythm        | CD,Compilation   | Various - Strictly Rhythm - Yesterday & Today Vol.1

#### #98  Backroom Productions – Definition Of A Track   (hint:  1988)
    122 |     58697 | 1989 | Big Beat               | Vinyl,12"        | Precious - Definition Of A Track / In Motion
    122 |   1918161 | 1989 | Big Beat               | Vinyl,12"        | Precious - Definition Of A Track
    122 |    354787 | 1989 | BCM Records            | Vinyl,12"        | Precious - In Motion (Definition Of A Track)
    122 |    217145 | 1989 | On The Beat            | Vinyl,12"        | Precious - In Motion / Definition Of A Track
    122 |  17942410 | 1989 | Big Beat               | Vinyl,12"        | Precious - Definition Of A Track / In Motion
     82 |    194790 | 1988 | New York Underground R | Vinyl,LP         | Various - Back To Basics
